,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
39,5027.a2.txt,1415.82,1109.69,688.78,471.94,0,0,0
40,0135.a2.txt,1831.8,1013.82,875.58,506.91,1,0,3
41,0136.a2.txt,1987.8,1158.54,865.85,304.88,0,0,0
42,1094.a2.txt,1605.67,1263.28,672.96,625.74,0,0,0
43,2024.a2.txt,1693.65,1257.78,971.36,485.68,0,0,1
44,1065.a2.txt,1675.68,1108.11,756.76,729.73,1,0,0
45,3067.a2.txt,1943.73,1112.53,741.69,358.06,1,1,0
46,0100.a2.txt,2084.85,1284.85,787.88,351.52,1,0,2
47,1006.a2.txt,1662.57,1048.32,712.53,442.26,1,0,2
48,1009.a2.txt,1995.36,1171.69,684.45,313.23,0,2,0
49,1121.a2.txt,1582.89,1026.74,802.14,513.37,3,0,1
50,5008.a2.txt,2195.45,1070.95,950.47,455.15,0,0,0
51,2061.a2.txt,2087.77,957.45,864.36,585.11,0,0,0
52,0171.a2.txt,1810.34,1046.8,788.18,455.67,1,0,1
53,1050.a2.txt,1892.82,912.2,946.41,513.11,1,0,0
54,5032.a2.txt,2132.45,1046.36,847.68,569.54,0,1,0
55,0189.a2.txt,1711.41,872.48,749.44,436.24,1,1,1
56,1020.a2.txt,1724.41,1244.09,448.82,527.56,0,0,3
57,3036.a2.txt,2299.47,1163.1,695.19,374.33,0,0,0
58,0201.a2.txt,1461.43,825.44,744.25,324.76,0,0,6
59,2045.a2.txt,1799.59,1042.94,981.6,449.9,1,1,3
60,0143.a2.txt,1963.52,1115.88,912.02,418.45,0,0,0
61,0196.a2.txt,1981.88,1245.75,736.13,317.1,0,0,0
62,5025.a2.txt,1867.39,1041.95,649.53,676.59,4,0,0
63,0185.a2.txt,1728.25,1108.46,584.03,441.0,0,1,0
64,0203.a2.txt,1712.25,927.47,1034.48,582.64,1,0,1
65,2019.a2.txt,1555.89,1450.15,785.5,332.33,2,0,0
66,0120.a2.txt,1898.09,1184.71,751.59,535.03,0,3,0
67,4002.a2.txt,2177.88,1106.04,627.14,364.88,0,0,0
68,1026.a2.txt,1491.97,1384.85,604.44,283.09,0,0,1
69,0190.a2.txt,1251.56,1339.17,525.66,650.81,0,0,0
70,0106.a2.txt,1664.68,1117.72,725.33,535.08,0,1,1
71,0199.a2.txt,1911.76,1078.43,870.1,355.39,0,0,0
72,1058.a2.txt,2199.71,1215.63,824.89,651.23,0,0,4
73,0214.a2.txt,1916.1,963.72,861.68,589.57,1,1,1
74,2005.a2.txt,2036.84,1180.93,715.06,465.87,1,0,2
75,1103.a2.txt,1832.34,1161.68,658.68,610.78,0,0,0
76,5016.a2.txt,1719.65,1228.32,606.94,187.86,0,0,0
77,3033.a2.txt,1899.11,1266.07,623.15,445.1,2,0,1
78,1036.a2.txt,1672.86,1245.35,483.27,557.62,0,1,1
79,1070.a2.txt,1866.2,1126.76,622.07,539.91,0,1,1
80,0198.a2.txt,1860.8,1008.52,781.25,355.11,1,0,0
81,1100.a2.txt,1861.36,1360.72,706.03,577.66,1,1,1
