,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADV,RelFreq ADJ,No. Unique PER,No. Unique LOC,No. Unique ORG
194,1105.a1.txt,1212.47,1247.11,715.94,658.2,0,0,0
195,1106.a1.txt,1619.57,1076.09,597.83,597.83,1,0,0
196,1109.a1.txt,1387.63,1508.3,678.73,784.31,0,0,0
197,1112.a1.txt,1273.96,1465.61,823.0,631.34,0,0,0
198,1121.a1.txt,1466.52,1296.49,552.6,733.26,4,0,5
199,2000.a1.txt,1462.96,962.96,518.52,722.22,0,0,0
200,2004.a1.txt,1479.82,1266.82,627.8,840.81,3,0,0
201,2005.a1.txt,1475.1,1226.05,632.18,737.55,2,0,0
202,2007.a1.txt,1436.23,1200.43,621.65,857.45,0,0,0
203,2008.a1.txt,1497.8,1123.35,671.81,892.07,3,1,1
204,2009.a1.txt,1228.07,1298.25,578.95,578.95,0,0,1
205,2011.a1.txt,1613.66,1319.2,800.94,812.72,3,0,0
206,2012.a1.txt,1517.0,1098.52,706.19,845.68,1,0,3
207,2013.a1.txt,1295.92,1122.45,887.76,673.47,1,0,0
208,2014.a1.txt,1338.2,1192.21,742.09,973.24,0,0,1
209,2015.a1.txt,1425.55,1119.32,612.46,813.09,1,0,0
210,2017.a1.txt,1683.54,1126.58,518.99,670.89,0,0,0
211,2018.a1.txt,1343.78,1657.33,447.93,526.32,0,0,0
212,2019.a1.txt,1398.0,1340.94,599.14,656.21,1,0,0
213,2020.a1.txt,1303.07,1420.2,688.14,600.29,0,0,0
214,2021.a1.txt,1426.89,1332.55,601.42,766.51,0,0,0
215,2022.a1.txt,1152.07,1566.82,599.08,691.24,0,0,1
216,2023.a1.txt,1200.0,1357.58,703.03,606.06,2,0,0
217,2024.a1.txt,1211.73,1326.53,714.29,790.82,0,0,0
218,2026.a1.txt,1378.48,1039.9,701.33,652.96,2,0,7
219,2027.a1.txt,1495.97,1196.78,667.43,771.0,5,0,1
220,2028.a1.txt,1455.46,1217.06,777.92,702.63,0,0,0
221,2030.a1.txt,1187.99,1475.2,600.52,483.03,0,0,0
222,2031.a1.txt,1238.83,1507.02,753.51,740.74,0,0,1
223,2032.a1.txt,1198.45,1365.98,708.76,592.78,0,0,0
224,2034.a1.txt,1040.94,1228.07,760.23,502.92,3,0,1
225,2035.a1.txt,1232.23,1291.47,722.75,556.87,0,0,0
226,2036.a1.txt,1327.76,1355.62,779.94,668.52,1,0,1
227,2037.a1.txt,1590.59,1175.66,594.74,1065.01,0,0,0
228,2038.a1.txt,1622.64,1283.02,352.2,716.98,4,0,3
229,2039.a1.txt,1349.11,1479.29,662.72,686.39,0,0,0
230,2040.a1.txt,1629.12,1299.83,606.59,641.25,1,0,1
231,2041.a1.txt,1214.47,1266.15,607.24,839.79,1,1,0
232,2042.a1.txt,1056.7,1301.55,631.44,682.99,2,0,0
233,2044.a1.txt,1391.75,1443.3,592.78,554.12,1,0,0
234,2045.a1.txt,1691.54,1393.03,509.95,646.77,1,0,0
235,2046.a1.txt,1623.83,1296.73,549.07,584.11,0,1,2
236,2047.a1.txt,1513.24,1311.48,668.35,718.79,0,0,0
237,2048.a1.txt,1192.56,1258.21,743.98,722.1,0,0,1
238,2049.a1.txt,1450.95,1158.04,735.69,524.52,3,0,5
239,2050.a1.txt,1607.36,1496.93,331.29,552.15,0,0,0
240,2051.a1.txt,1434.16,1016.95,573.66,899.61,2,0,3
241,2054.a1.txt,1574.62,1069.33,763.81,763.81,4,0,0
242,2055.a1.txt,1355.21,1469.33,427.96,756.06,0,0,0
243,2056.a1.txt,1304.35,1250.0,692.93,611.41,0,0,2
244,2057.a1.txt,1264.08,1464.33,700.88,638.3,0,1,0
245,2058.a1.txt,1507.48,1219.79,678.94,563.87,2,0,0
246,2059.a1.txt,1458.08,1215.07,729.04,862.7,0,0,2
247,2060.a1.txt,1295.26,1392.76,557.1,766.02,0,0,1
248,2061.a1.txt,1409.3,974.51,764.62,704.65,4,0,1
249,2062.a1.txt,1208.05,1409.4,447.43,480.98,1,0,0
250,2063.a1.txt,1440.11,1493.94,565.28,807.54,0,0,1
251,2064.a1.txt,1353.09,1443.3,554.12,567.01,0,0,0
252,2065.a1.txt,1184.39,1372.81,659.49,686.41,0,1,0
253,2066.a1.txt,1404.85,1341.0,727.97,996.17,0,0,0
254,2067.a1.txt,1199.48,1368.97,573.66,547.59,0,0,0
255,2068.a1.txt,1472.87,1317.83,542.64,594.32,0,0,0
256,2069.a1.txt,1397.59,1361.45,518.07,819.28,0,0,0
257,2070.a1.txt,1132.44,1247.6,614.2,710.17,0,0,1
258,2071.a1.txt,1038.65,1521.74,652.17,700.48,1,0,0
259,2073.a1.txt,845.84,1227.83,982.26,613.92,2,0,1
260,2074.a1.txt,1405.06,974.68,898.73,860.76,2,0,4
261,2075.a1.txt,1259.26,1132.28,634.92,634.92,1,2,3
262,3001.a1.txt,1183.67,1367.35,551.02,734.69,3,0,0
263,3002.a1.txt,1442.31,1225.96,552.88,1033.65,0,0,1
264,3003.a1.txt,1474.75,1050.51,727.27,949.49,2,1,1
265,3005.a1.txt,1386.36,1681.82,545.45,636.36,1,0,0
266,3011.a1.txt,1908.05,1011.49,459.77,827.59,0,0,0
267,3012.a1.txt,1363.64,1385.28,714.29,692.64,0,0,0
268,3013.a1.txt,1062.5,1250.0,666.67,645.83,3,4,0
269,3015.a1.txt,1573.03,1460.67,561.8,719.1,0,0,1
270,3018.a1.txt,1365.74,1180.56,717.59,763.89,0,0,0
271,3020.a1.txt,1305.26,1221.05,715.79,400.0,0,0,1
272,3023.a1.txt,1134.45,1323.53,588.24,630.25,0,0,1
273,3026.a1.txt,1626.37,1120.88,835.16,725.27,2,0,0
274,3027.a1.txt,1381.69,1243.52,552.68,777.2,0,0,0
275,3028.a1.txt,1402.55,1256.83,582.88,837.89,0,0,2
276,3035.a1.txt,1290.32,1003.58,465.95,627.24,4,0,2
277,3036.a1.txt,1454.55,1477.27,545.45,568.18,0,0,0
278,3038.a1.txt,1445.78,1325.3,441.77,823.29,0,0,0
279,3039.a1.txt,1625.77,1288.34,797.55,797.55,0,0,0
280,3040.a1.txt,1169.92,1699.16,640.67,919.22,0,0,0
281,3041.a1.txt,1081.87,1257.31,380.12,730.99,0,0,0
282,3042.a1.txt,1376.81,1159.42,597.83,887.68,0,0,0
283,3044.a1.txt,1471.7,962.26,792.45,754.72,0,0,1
284,3045.a1.txt,1144.58,1385.54,401.61,622.49,0,1,0
285,3062.a1.txt,1462.96,1462.96,555.56,629.63,0,0,2
286,3063.a1.txt,1414.14,1030.3,303.03,606.06,0,0,2
287,3064.a1.txt,1538.46,1372.14,665.28,665.28,0,0,0
288,3065.a1.txt,1587.98,1244.64,386.27,515.02,0,0,2
289,3066.a1.txt,1712.0,1040.0,608.0,800.0,1,1,2
290,3067.a1.txt,1523.34,1154.79,466.83,712.53,3,0,0
291,3068.a1.txt,1483.15,1303.37,629.21,741.57,0,0,0
292,3072.a1.txt,1337.0,1355.31,659.34,750.92,0,0,0
293,4011.a1.txt,1294.64,1361.61,758.93,625.0,0,0,0
294,4013.a1.txt,1333.33,1333.33,609.52,647.62,0,0,0
295,4014.a1.txt,1339.81,1378.64,427.18,349.51,1,0,2
296,4042.a1.txt,1209.02,1209.02,573.77,635.25,0,0,1
297,4043.a1.txt,1277.45,1337.33,658.68,658.68,0,0,0
298,4045.a1.txt,1576.92,1057.69,384.62,750.0,0,0,0
299,5005.a1.txt,1333.33,1452.99,666.67,700.85,0,0,0
300,5015.a1.txt,1206.5,1229.7,440.84,603.25,0,0,0
301,5022.a1.txt,1448.28,1264.37,735.63,505.75,2,0,0
302,5031.a1.txt,1289.64,1162.79,845.67,782.24,2,0,0
